Date Range,Resort,Room,Points
"December 2 - December 9, 2025",Studio,Studio - West Village,49000
"December 2 - December 9, 2025",,,49000
"December 2 - December 9, 2025",1 Bedroom Clubhouse,1 Bedroom Clubhouse - West Village,57000
"December 2 - December 9, 2025",,,57000
"December 7 - December 14, 2025",Studio,Studio - West Village,49000
"December 7 - December 14, 2025",,,49000
"December 7 - December 14, 2025",Studio,Studio - West Village,49000
"December 7 - December 14, 2025",,,49000
"December 8 - December 15, 2025",Studio,Studio - West Village,49000
"December 8 - December 15, 2025",,,49000
"December 2 - December 9, 2025",Studio,Studio - West Village,49000
"December 2 - December 9, 2025",,,49000
"December 2 - December 9, 2025",1 Bedroom Clubhouse,1 Bedroom Clubhouse - West Village,57000
"December 2 - December 9, 2025",,,57000
"December 10 - December 17, 2025",Studio,Studio - West Village,49000
"December 10 - December 17, 2025",,,49000
